sgRNA	gene	MHG_library_v1	HT29_c9M1R6	HT29_c9M1R5	HT29_c9M1R4
1000001008	MED7	358	391	251	257
1000001011	MED7	680	35	70	55
1000003911	FAM71B	1361	1056	1141	1308
1000003921	FAM71B	977	784	1304	835
1000008643	ITK	1667	1713	1950	1000
1000012218	ITK	1020	936	1103	787
1000020556	CYFIP2	1127	1212	979	740
1000022226	CYFIP2	1087	1042	995	800
1000023977	FNDC9	1752	1992	1494	1148
1000024019	FNDC9	1277	1720	1156	755
1000037515	NIPAL4	2216	2072	1620	1742
1000038712	NIPAL4	1502	1645	1291	1224
1000045650	ADAM19	1318	1693	1282	1354
1000047108	ADAM19	1260	1762	1515	1167
1000060541	SOX30	2309	2130	1766	1640
1000060566	SOX30	19	4	67	51
1000062822	C5orf52	1334	907	908	838
1000062824	C5orf52	1414	1370	1169	606
1000070150	THG1L	1332	520	484	413
1000070327	THG1L	1087	702	682	681
1000071395	LSM11	1127	358	261	182
1000072221	LSM11	1001	392	378	373
1000077559	CLINT1	1256	1198	1145	843
1000077781	CLINT1	692	606	851	656
1000179711	EBF1	1232	1168	579	968
1000209521	EBF1	1109	998	991	846
1000217048	RNF145	1589	1530	1201	1268
1000217934	RNF145	1211	1382	1073	1296
1000226837	UBLCP1	1501	1189	1241	1149
1000226959	UBLCP1	1785	1572	1371	1074
1000231585	IL12B	1468	1403	1416	873
1000231884	IL12B	1051	1329	930	921
1000296596	ADRA1B	1154	1004	1109	817
1000296613	ADRA1B	1147	1321	1160	1155
1000310266	TTC1	1276	264	128	130
1000311504	TTC1	1223	259	169	91
1000316184	PWWP2A	960	1339	1273	704
1000319001	PWWP2A	1401	960	954	1054
1000334170	FABP6	1746	1531	1791	1114
1000334509	FABP6	1255	972	1472	1265
1000338479	CCNJL	1338	1092	1001	976
1000341498	CCNJL	1490	1358	1058	1445
1000350566	C1QTNF2	1213	1333	1138	847
1000350610	C1QTNF2	807	730	870	920
1000355866	ZBED8	1299	1637	1386	920
1000355869	ZBED8	1529	1147	1375	1475
1000357436	SLU7	1814	197	224	89
1000357447	SLU7	1159	210	210	116
1000358371	PTTG1	1259	670	639	603
1000358491	PTTG1	973	606	535	376
1000381336	ATP10B	1335	1914	1442	1560
1000382354	ATP10B	1732	1552	1094	986
1000452790	GABRB2	2097	1951	1808	1683
1000462931	GABRB2	1422	1921	1513	1829
1000474301	GABRA6	1371	1760	1499	1473
1000474517	GABRA6	853	661	706	451
1000488069	GABRA1	747	576	544	623
1000488778	GABRA1	1444	1025	1022	1182
1000504228	GABRG2	702	941	579	718
1000504326	GABRG2	1302	1302	1028	1028
1000617168	CCNG1	1892	1817	1787	1280
1000617315	CCNG1	1285	1019	901	1267
1000618780	NUDCD2	1506	1663	1307	855
1000618784	NUDCD2	1027	1133	881	767
1000619705	HMMR	1067	1329	856	436
1000619885	HMMR	1118	903	849	712
1000623660	MAT2B	1363	1459	1031	859
1000623680	MAT2B	718	870	788	851
1001025203	TENM2	1417	1542	1521	1556
1001026194	TENM2	1282	1508	1092	942
1001045909	WWC1	1224	1285	1257	1125
1001050483	WWC1	1953	2078	1379	1622
1001061611	RARS1	591	233	136	134
1001061617	RARS1	1065	317	210	303
1001065161	FBLL1	2449	2217	2511	1386
1001065256	FBLL1	1420	1656	1263	1247
1001068853	PANK3	1204	972	918	879
1001069113	PANK3	1692	1426	1560	1728
1001092713	SLIT3	1351	1194	1027	1095
1001095524	SLIT3	1443	966	1177	1084
1001187888	SPDL1	1004	96	116	29
1001187892	SPDL1	1391	65	129	56
1001198622	DOCK2	1234	1313	1131	1026
1001200553	DOCK2	1383	1841	1757	1196
1001218978	INSYN2B	1502	821	805	816
1001219034	INSYN2B	1865	1336	1745	954
1001246041	FOXI1	1123	1117	1006	490
1001246063	FOXI1	1096	1390	1045	726
1001262765	C5orf58	1259	1736	890	1285
